Index,Listed Stocks,Industry,Sub-Industry,Assets,Liabilities,Equity,Operating Profit,BV,DER,Year
BRAU,,,,22055,22576,-521,-65.00,-15.00,-43.34,2016
BORN,,,,14499,20334,-5835,-2078.00,-330.00,-3.48,2016
BRMS,,,,41681,79097,-37416,-126.00,-1022.00,-2.11,2016
DEWA,,,,5124,2099,3025,37.00,138.00,0.69,2016
DOID,,,,11854,10155,1699,816.00,204.00,5.98,2016
DSSA,,,,29996,12753,17243,1312.00,22377.00,0.74,2016
GTBO,,,,740,103,637,-91.00,255.00,0.16,2016
SMMT,,,,637,256,381,-18.00,121.00,0.67,2016
GEMS,,,,5074,1515,3559,657.00,605.00,0.43,2016
HRUM,,,,5554,778,4776,395.00,1766.00,0.16,2016
ITMG,,,,16255,4063,12192,2580.00,10790.00,0.33,2016
MBAP,,,,1564,332,1231,486.00,1003.00,0.27,2016
TKGA,,,,6024,5579,445,-346.00,440.00,12.53,2016
PTRO,,,,5286,2996,2290,-118.00,2271.00,1.31,2016
KKGI,,,,1326,192,1134,197.00,1134.00,0.17,2016
MYOH,,,,1979,534,1444,396.00,655.00,0.37,2016
PTBA,,,,18577,8024,10552,2697.00,4580.00,0.76,2016
TOBA,,,,3515,1530,1985,349.00,986.00,0.77,2016
APEX,,,,9168,8806,362,-342.00,136.00,24.30,2016
BIPI,,,,17180,13184,3995,-2320.00,109.00,3.30,2016
ELSA,,,,4191,1313,2878,425.00,394.00,0.46,2016
ENRG,,,,14269,15232,-963,-5481.00,-20.00,-15.82,2016
MEDC,,,,48331,36366,11965,3497.00,3590.00,3.04,2016
PKPK,,,,158,88,70,-22.00,116.00,1.26,2016
RUIS,,,,979,619,360,55.00,467.00,1.72,2016
ARTI,,,,2617,886,1731,2.00,221.00,0.51,2016
ESSA,,,,8992,6166,2825,3.00,2568.00,2.18,2016
ANTM,,,,29982,11573,18409,237.00,766.00,0.63,2016
CKRA,,,,905,21,884,-54.00,173.00,0.02,2016
DKFT,,,,1876,662,1214,-80.00,215.00,0.55,2016
CITA,,,,2726,1763,963,-266.00,286.00,1.83,2016
PSAB,,,,11460,6864,4596,544.00,174.00,1.49,2016
MDKA,,,,4087,1950,2137,-86.00,599.00,0.91,2016
SMRU,,,,2424,1438,987,-243.00,79.00,1.46,2016
TINS,,,,9549,3895,5654,415.00,759.00,0.69,2016
INCO,,,,29902,5252,24650,69.00,2481.00,0.21,2016
CTTH,,,,616,301,315,27.00,256.00,0.96,2016
MITI,,,,229,142,87,-20.00,68.00,1.63,2016
SMCB,,,,19763,11703,8061,-172.00,1052.00,1.45,2016
INTP,,,,30151,4012,26139,4146.00,7101.00,0.15,2016
SMBR,,,,4369,1248,3121,349.00,317.00,0.40,2016
SMGR,,,,44227,13653,30574,5085.00,5155.00,0.45,2016
WSBP,,,,13734,6329,7406,967.00,281.00,0.85,2016
WTON,,,,4662,2172,2490,340.00,286.00,0.87,2016
ARNA,,,,5505,1906,3599,349.00,8293.00,0.53,2016
AMFG,,,,1543,595,948,124.00,129.00,0.63,2016
IKAI,,,,265,327,-62,-144.00,-78.00,-5.29,2016
KIAS,,,,1860,340,1520,-166.00,102.00,0.22,2016
MLIA,,,,7724,6110,1613,-9.00,1219.00,3.79,2016
TOTO,,,,2581,1058,1524,251.00,148.00,0.69,2016
ALKA,,,,137,76,61,0.28,120.00,1.24,2016
ALMI,,,,2153,1749,404,-91.00,655.00,4.33,2016
BTON,,,,177,34,144,-8.00,199.00,0.24,2016
CTBN,,,,2156,564,1592,-11.00,1989.00,0.35,2016
GDST,,,,1258,425,832,46.00,101.00,0.51,2016
INAI,,,,1339,1081,258,58.00,814.00,4.19,2016
JKSW,,,,273,715,-442,3.00,-2945.00,-1.62,2016
JPRS,,,,351,43,308,-17.00,411.00,0.14,2016
KRAS,,,,52894,28176,24718,-2576.00,1278.00,1.14,2016
LION,,,,686,215,471,55.00,905.00,0.46,2016
LMSH,,,,163,46,117,9.00,1222.00,0.39,2016
PICO,,,,639,373,266,17.00,468.00,1.40,2016
NIKL,,,,1608,1070,538,33.00,213.00,1.99,2016
BAJA,,,,983,786,197,54.00,109.00,4.00,2016
ISSP,,,,6042,3397,2645,139.00,368.00,1.28,2016
TBMS,,,,1744,1355,389,130.00,1058.00,3.49,2016
AGII,,,,5848,3087,2761,88.00,900.00,1.12,2016
BRPT,,,,34538,15078,19460,5106.00,2788.00,0.77,2016
TPIA,,,,28609,13269,15339,5382.00,4667.00,0.87,2016
DPNS,,,,296,33,263,12.00,795.00,0.12,2016
EKAD,,,,703,111,592,118.00,377.00,0.42,2016
ETWA,,,,1206,1183,23,-53.00,23.00,52.12,2016
SRSN,,,,717,315,402,2.00,67.00,0.78,2016
INCI,,,,269,27,243,13.00,1341.00,0.11,2016
SOBI,,,,2681,1543,1138,36.00,1230.00,1.36,2016
UNIC,,,,3049,883,2166,153.00,5650.00,0.41,2016
AKPI,,,,2616,1496,1120,76.00,1647.00,1.34,2016
APLI,,,,314,68,247,34.00,164.00,0.28,2016
BRNA,,,,2089,1060,1028,20.00,1050.00,1.03,2016
IGAR,,,,439,66,374,96.00,384.00,0.18,2016
IMPC,,,,2276,1050,1226,165.00,254.00,0.86,2016
IPOL,,,,3801,1706,2095,139.00,325.00,0.81,2016
FPNI,,,,2750,1434,1316,59.00,236.00,1.09,2016
SIAP,,,,229,230,-1,-25.00,-0.04,-225.04,2016
SIMA,,,,40,12,28,-1.00,64.00,0.42,2016
TRST,,,,3291,1358,1932,23.00,688.00,0.70,2016
TALF,,,,882,130,752,41.00,556.00,0.17,2016
YPAS,,,,280,138,142,-11.00,213.00,0.97,2016
CPIN,,,,24205,10048,14157,3984.00,863.00,0.71,2016
JPFA,,,,19251,9878,9373,2767.00,821.00,1.05,2016
MAIN,,,,3920,2082,1838,302.00,821.00,1.13,2016
SIPD,,,,2567,1424,1143,9.00,853.00,1.25,2016
SULI,,,,1230,1438,-207,8.00,-67.00,-6.93,2016
TIRT,,,,816,689,127,37.00,125.00,5.43,2016
ALDO,,,,410,209,201,34.00,365.00,1.04,2016
DAJK,,,,1526,1133,393,-366.00,157.00,2.88,2016
FASW,,,,8583,5425,3158,827.00,1275.00,1.72,2016
INKP,,,,92424,54542,37881,1952.00,6924.00,1.44,2016
KDSI,,,,1142,722,420,64.00,1037.00,1.72,2016
KBRI,,,,1264,845,419,-83.00,48.00,2.01,2016
TKIM,,,,33473,20882,12591,12.00,4713.00,1.66,2016
SPMA,,,,2159,1047,1079,111.00,510.00,0.97,2016
INRU,,,,4561,2377,2183,-172.00,1572.00,1.09,2016
INCF,,,,439,298,141,7.00,98.00,2.12,2016
KMTR,,,,3807,2755,1052,193.00,- ,2.62,2016
AMIN,,,,252,101,151,43.00,140.00,0.67,2016
KRAH,,,,599,421,178,4.00,183.00,2.36,2016
ASII,,,,261855,121949,139906,22253.00,3456.00,0.87,2016
AUTO,,,,14612,4076,10537,649.00,2186.00,0.39,2016
GJTL,,,,18698,12850,5848,826.00,1678.00,2.20,2016
BOLT,,,,938,124,814,147.00,347.00,0.15,2016
GDYR,,,,1516,760,756,34.00,1844.00,1.01,2016
BRAM,,,,3978,1321,2657,417.00,5904.00,0.50,2016
IMAS,,,,25633,18924,6710,-227.00,2426.00,2.82,2016
INDS,,,,2477,409,2068,60.00,3151.00,0.20,2016
LPIN,,,,478,426,52,-86.00,2428.00,8.26,2016
MASA,,,,8193,3638,4554,-112.00,496.00,0.80,2016
NIPS,,,,1778,935,843,89.00,515.00,1.11,2016
PRAS,,,,1596,903,693,4.00,989.00,1.30,2016
SMSM,,,,2255,675,1580,658.00,274.00,0.43,2016
ARGO,,,,1561,2326,-766,-362.00,-2282.00,-3.04,2016
POLY,,,,3106,15703,-12597,-94.00,-5047.00,-1.25,2016
MYTX,,,,1620,2545,-925,-398.00,-631.00,-2.75,2016
CNTX,,,,459,433,27,-8.00,381.00,16.24,2016
CNTX,,,,459,433,27,-8.00,205.00,16.24,2016
ERTX,,,,708,439,269,29.00,209.00,1.63,2016
ESTI,,,,664,447,217,41.00,108.00,2.06,2016
INDR,,,,11374,7353,4021,85.00,6146.00,1.83,2016
UNIT,,,,433,189,244,2.00,3235.00,0.77,2016
PBRX,,,,6980,3922,3059,246.00,472.00,1.28,2016
HDTX,,,,4744,3565,1178,-507.00,327.00,3.03,2016
ADMG,,,,5117,1819,3298,-378.00,848.00,0.55,2016
RICY,,,,1289,876,412,23.00,643.00,2.12,2016
SRIL,,,,12726,8277,4449,887.00,239.00,1.86,2016
STAR,,,,690,200,490,6.00,102.00,0.41,2016
SSTM,,,,671,408,263,-19.00,225.00,1.55,2016
TFCO,,,,4330,412,3918,63.00,812.00,0.11,2016
TRIS,,,,640,293,347,48.00,332.00,0.85,2016
BIMA,,,,92,189,-97,30.00,-160.00,-1.95,2016
BATA,,,,805,248,557,65.00,429.00,0.44,2016
JECC,,,,1587,1117,470,175.00,3111.00,2.37,2016
KBLM,,,,639,318,321,35.00,286.00,0.99,2016
KBLI,,,,1871,550,1321,386.00,330.00,0.42,2016
IKBI,,,,1046,173,873,72.00,714.00,0.20,2016
SCCO,,,,2450,1230,1220,440.00,5936.00,1.01,2016
VOKS,,,,1668,999,669,224.00,805.00,1.49,2016
PTSN,,,,887,211,676,23.00,381.00,0.31,2016
BSSW,,,,2932,1767,1165,53.00,259.00,1.52,2016
HOKI,,,,370,150,220,59.00,- ,0.68,2016
DLTA,,,,1198,185,1012,327.00,1264.00,0.18,2016
ICBP,,,,28902,10401,18501,4989.00,1586.00,0.56,2016
INDF,,,,82175,38233,43941,7385.00,5004.00,0.87,2016
MYOR,,,,12922,6657,6265,1846.00,280.00,1.06,2016
MLBI,,,,2275,1454,821,1320.00,389.00,1.77,2016
ROTI,,,,2920,1477,1443,369.00,285.00,1.02,2016
PSDN,,,,654,374,280,-10.00,195.00,1.33,2016
CLEO,,,,450,258,191,40.00,- ,1.35,2016
SKBM,,,,1002,633,368,31.00,393.00,1.72,2016
SKLT,,,,568,272,296,25.00,429.00,0.92,2016
STTP,,,,2336,1168,1169,218.00,892.00,1.00,2016
AISA,,,,9255,4990,4264,898.00,1325.00,1.17,2016
ALTO,,,,1165,684,481,-15.00,220.00,1.42,2016
ULTJ,,,,4239,750,3489,932.00,1208.00,0.21,2016
CEKA,,,,1426,538,888,286.00,1492.00,0.61,2016
RMBA,,,,13471,4030,9441,-1391.00,259.00,0.43,2016
GGRM,,,,62952,23387,39564,8931.00,20563.00,0.59,2016
HMSP,,,,42508,8333,34175,17011.00,294.00,0.24,2016
WIIM,,,,1354,363,991,137.00,472.00,0.37,2016
DVLA,,,,1531,452,1080,214.00,964.00,0.42,2016
INAF,,,,1382,806,576,-19.00,186.00,1.40,2016
SIDO,,,,2988,230,2758,629.00,184.00,0.08,2016
KLBF,,,,15226,2762,12464,3091.00,266.00,0.22,2016
KAEF,,,,4613,2341,2271,383.00,409.00,1.03,2016
SCPI,,,,1393,1159,234,223.00,65075.00,4.95,2016
MERK,,,,744,161,583,215.00,1301.00,0.28,2016
PYFA,,,,167,62,106,7.00,197.00,0.58,2016
SQBI,,,,479,124,355,220.00,365051.00,0.35,2016
SQBB,,,,479,124,355,220.00,38285.00,0.35,2016
TSPC,,,,6586,1951,4635,719.00,1030.00,0.42,2016
ADES,,,,767,383,384,62.00,652.00,1.00,2016
KINO,,,,3285,1332,1952,219.00,1366.00,0.68,2016
TCID,,,,2185,402,1783,221.00,8868.00,0.23,2016
MBTO,,,,710,269,441,12.00,412.00,0.61,2016
MRAT,,,,483,114,369,-4.00,862.00,0.31,2016
UNVR,,,,16746,12041,4704,8572.00,617.00,2.56,2016
CINT,,,,399,73,326,28.00,326.00,0.22,2016
WOOD,,,,3082,1652,1430,195.00,- ,1.16,2016
KICI,,,,140,51,89,0.58,322.00,0.57,2016
LMPI,,,,810,402,408,11.00,405.00,0.99,2016
HRTA,,,,1071,502,569,127.00,- ,0.88,2016
APLN,,,,25712,15741,9971,961.00,486.00,1.58,2016
ASRI,,,,20186,12998,7188,723.00,366.00,1.81,2016
ARMY,,,,1354,730,624,-14.00,- ,1.17,2016
ELTY,,,,14064,7665,6399,-557.00,147.00,1.20,2016
BAPA,,,,179,72,107,2.00,162.00,0.67,2016
BEST,,,,5205,1815,3391,369.00,351.00,0.54,2016
BIPP,,,,1648,444,1204,33.00,258.00,0.37,2016
BIKA,,,,2401,1731,669,-77.00,1130.00,2.59,2016
BKDP,,,,785,239,546,-24.00,75.00,0.44,2016
BCIP,,,,789,484,305,61.00,214.00,1.58,2016
BSDE,,,,38292,13939,24353,2065.00,1265.00,0.57,2016
CTRA,,,,29072,14774,14298,1501.00,927.00,1.03,2016
CTRP,,,,9939,4703,5236,132.00,829.00,0.90,2016
CTRS,,,,7289,3374,3915,434.00,1925.00,0.86,2016
COWL,,,,3493,2293,1200,13.00,246.00,1.91,2016
SCBD,,,,5714,1592,4122,171.00,1241.00,0.39,2016
DART,,,,6066,2443,3623,234.00,1153.00,0.67,2016
DUTI,,,,9692,1899,7793,844.00,4212.00,0.24,2016
LCGP,,,,1687,72,1615,-2.00,287.00,0.04,2016
FMII,,,,772,99,673,297.00,247.00,0.15,2016
FORZ,,,,428,323,105,8.00,- ,3.08,2016
GAMA,,,,1345,247,1098,1.00,110.00,0.23,2016
GMTD,,,,1229,590,639,88.00,6291.00,0.92,2016
GWSA,,,,6963,478,6485,215.00,831.00,0.07,2016
MYRX,,,,8410,2396,6014,105.00,5365.00,0.40,2016
MYRX,,,,8410,2396,6014,105.00,76.00,0.40,2016
OMRE ,,,,4265,147,4118,316.00,2360.00,0.04,2016
DILD,,,,11840,6783,5057,407.00,488.00,1.34,2016
JRPT,,,,8484,3578,4906,1027.00,357.00,0.73,2016
KIJA,,,,10734,5095,5638,512.00,273.00,0.90,2016
LAMI,,,,654,84,570,20.00,497.00,0.15,2016
LPCK,,,,5653,1410,4243,550.00,6096.00,0.33,2016
LPKR,,,,45604,23529,22075,1558.00,957.00,1.07,2016
MMLP,,,,3966,682,3284,399.00,575.00,0.21,2016
EMDE,,,,1364,676,688,67.00,205.00,0.98,2016
MTSM,,,,85,10,75,-1.00,321.00,0.13,2016
MKPI,,,,6612,2897,3715,1392.00,3918.00,0.78,2016
MTLA,,,,3933,1430,2502,385.00,327.00,0.57,2016
MDLN,,,,14540,7945,6595,662.00,526.00,1.20,2016
NIRO,,,,3792,818,2974,-9.00,134.00,0.28,2016
PWON,,,,20674,9654,11020,1732.00,229.00,0.88,2016
GPRA,,,,1569,559,1010,47.00,236.00,0.55,2016
RODA,,,,3429,662,2766,64.00,204.00,0.24,2016
PLIN,,,,4587,2301,2285,398.00,644.00,1.01,2016
PPRO,,,,8826,5858,2968,368.00,211.00,1.97,2016
DMAS,,,,7804,415,7388,775.00,153.00,0.06,2016
RBMS,,,,167,6,162,-6.00,495.00,0.03,2016
RDTX,,,,2102,273,1828,257.00,6802.00,0.15,2016
BKSL,,,,11360,4199,7160,562.00,207.00,0.59,2016
TARA,,,,1218,166,1052,3.00,105.00,0.16,2016
SMRA,,,,20810,12645,8166,878.00,566.00,1.55,2016
SMDM,,,,3099,623,2476,38.00,519.00,0.25,2016
ACST,,,,2503,1202,1301,68.00,1859.00,0.92,2016
ADHI,,,,20095,14653,5443,613.00,1529.00,2.69,2016
CSIS,,,,258,137,121,8.00,- ,1.13,2016
IDPR,,,,1548,441,1107,124.00,553.00,0.40,2016
JKON,,,,4007,1807,2201,475.00,135.00,0.82,2016
MTRA,,,,259,135,124,17.00,161.00,1.09,2016
DGIK,,,,1555,796,759,-375.00,137.00,1.05,2016
NRCA,,,,2134,993,1142,173.00,457.00,0.87,2016
PBSA,,,,848,295,553,147.00,368.00,0.53,2016
PTPP,,,,31233,20437,10796,1704.00,1741.00,1.89,2016
SSIA,,,,7195,3843,3353,93.00,713.00,1.15,2016
TOTL,,,,2951,2008,943,226.00,276.00,2.13,2016
TOPS,,,,2795,2161,635,295.00,- ,3.40,2016
WSKT,,,,61425,44652,16773,3146.00,1236.00,2.66,2016
WIKA,,,,31097,18598,12499,1230.00,1393.00,1.49,2016
POWR,,,,17075,8958,8117,901.00,505.00,1.10,2016
LAPD,,,,763,264,499,-57.00,126.00,0.53,2016
KOPI,,,,174,43,131,34.00,187.00,0.33,2016
PGAS,,,,91824,49229,42595,5173.00,1757.00,1.16,2016
RAJA,,,,1951,722,1229,146.00,302.00,0.59,2016
TGRA,,,,283,26,258,0.47,- ,0.10,2016
CMNP,,,,7938,3255,4683,673.00,1703.00,0.69,2016
JSMR,,,,53500,37161,16339,2650.00,2251.00,2.27,2016
META,,,,5522,2830,2692,285.00,177.00,1.05,2016
BTEL,,,,1772,15036,-13264,-784.00,-434.00,-1.13,2016
ISAT,,,,50839,36662,14177,1795.00,2609.00,2.59,2016
INVS,,,,5078,1249,3828,230.00,383.00,0.33,2016
FREN,,,,22807,16938,5869,-2474.00,57.00,2.89,2016
TLKM,,,,179611,74067,105544,38189.00,1047.00,0.70,2016
EXCL,,,,54896,33687,21209,186.00,1984.00,1.59,2016
ASSA,,,,3030,2126,904,89.00,266.00,2.35,2016
APOL,,,,1214,6514,-5300,-211.00,-611.00,-1.23,2016
BLTA,,,,1362,718,644,-210.00,27.00,1.11,2016
BIRD,,,,7301,2638,4663,692.00,1864.00,0.57,2016
BULL,,,,3208,1883,1325,6.00,546.00,1.42,2016
CANI,,,,883,891,-8,-42.00,-10.00,-110.77,2016
CASS,,,,1647,852,795,429.00,381.00,1.07,2016
CPGT,,,,378,444,-66,-263.00,-17.00,-6.74,2016
LRNA,,,,309,58,250,-28.00,715.00,0.23,2016
TAXI,,,,2557,1821,737,-223.00,343.00,2.47,2016
GIAA,,,,50218,36649,13569,239.00,524.00,2.70,2016
HITS,,,,2218,1748,470,76.00,66.00,3.71,2016
KARW,,,,330,823,-493,31.00,-839.00,-1.67,2016
PTIS,,,,596,372,224,-99.00,407.00,1.66,2016
IATA,,,,1267,677,590,-165.00,63.00,1.15,2016
LEAD,,,,2986,1548,1438,-275.00,558.00,1.08,2016
MIRA,,,,400,154,246,-36.00,62.00,0.62,2016
MBSS,,,,3500,852,2648,-400.00,1513.00,0.32,2016
PORT,,,,2051,1431,621,193.00,- ,2.31,2016
BBRM,,,,1884,955,929,-97.00,173.00,1.03,2016
NELY,,,,409,42,368,16.00,157.00,0.11,2016
TAMU,,,,1451,762,688,-91.00,- ,1.11,2016
TMAS,,,,2526,1531,995,232.00,872.00,1.54,2016
RIGS,,,,1440,494,946,-110.00,1553.00,0.52,2016
SMDR,,,,7684,3657,4027,136.00,24594.00,0.91,2016
SDMU,,,,421,175,246,3.00,217.00,0.71,2016
SHIP,,,,1361,698,663,85.00,265.00,1.05,2016
SOCI,,,,7475,3507,3969,319.00,562.00,0.88,2016
SAFE,,,,9,42,-32,20.00,-53.00,-1.29,2016
INDX,,,,162,1,161,-18.00,368.00,0.01,2016
TRAM,,,,2174,2051,122,-259.00,13.00,16.75,2016
TPMA,,,,1629,739,890,25.00,338.00,0.83,2016
WEHA,,,,305,202,103,-29.00,116.00,1.96,2016
WINS,,,,5392,2281,3111,-296.00,770.00,0.73,2016
ZBRA,,,,18,16,1,-4.00,1.00,13.28,2016
BALI,,,,1707,1006,702,264.00,193.00,1.43,2016
BUKK,,,,2260,1031,1229,97.00,465.00,0.84,2016
INDY,,,,24485,14527,9958,-1545.00,1911.00,1.46,2016
IBST,,,,5449,2016,3433,610.00,2542.00,0.59,2016
OASA,,,,51,1,50,-1.00,140.00,0.01,2016
TOWR,,,,25025,14317,10708,3709.00,1050.00,1.34,2016
SUPR,,,,14019,9331,4688,409.00,4121.00,1.99,2016
TBIG,,,,23620,21996,1624,1364.00,358.00,13.54,2016
TRUB,,,,610,214,395,-117.00,25.00,0.54,2016
AGRS,,,,4060,3487,573,6.00,109.00,6.09,2016
INPC,,,,26220,21796,4424,92.00,280.00,4.93,2016
ARTO,,,,775,628,147,-38.00,122.00,4.26,2016
BBKP,,,,105406,95868,9538,1357.00,1050.00,10.05,2016
BNBA,,,,7121,5825,1297,106.00,561.00,4.49,2016
BACA,,,,14207,12892,1315,126.00,187.00,9.80,2016
BBCA,,,,676739,560557,112715,25839.00,4572.00,4.97,2016
MCOR,,,,12257,9861,2396,79.00,144.00,4.12,2016
BNGA,,,,241572,207364,34208,2851.00,1361.00,6.06,2016
BDMN,,,,174087,137709,36378,4393.00,3795.00,3.79,2016
DNAR,,,,2311,1865,446,17.00,198.00,4.18,2016
BGTG,,,,4236,3168,1068,53.00,96.00,2.97,2016
BBHI,,,,2058,1677,382,11.00,105.00,4.39,2016
BINA,,,,2359,1876,483,18.00,177.00,3.89,2016
BCIC,,,,16065,14712,1353,-712.00,48.00,10.87,2016
BMRI,,,,1038706,824560,153370,18573.00,6573.00,5.38,2016
BMAS,,,,5482,4370,1112,92.00,250.00,3.93,2016
MAYA,,,,60839,53786,7053,1087.00,1434.00,7.63,2016
BNII,,,,166679,147406,19273,2611.00,284.00,7.65,2016
MEGA,,,,70532,58266,12266,1545.00,1761.00,4.75,2016
BBMD,,,,10588,7906,2682,240.00,656.00,2.95,2016
NAGA,,,,2243,2009,234,16.00,143.00,8.59,2016
BABP,,,,13058,11197,1860,13.00,90.00,6.02,2016
NOBU,,,,8992,7660,1332,39.00,300.00,5.75,2016
BBNI,,,,603032,492701,89254,14303.00,4786.00,5.52,2016
BBNP,,,,7706,6508,1198,12.00,1769.00,5.43,2016
NISP,,,,138196,118690,19507,2351.00,1700.00,6.08,2016
BSWD,,,,4306,3198,1108,-575.00,1064.00,2.89,2016
PNBN,,,,199175,164974,34201,3306.00,1420.00,4.82,2016
PNBS,,,,8758,1019,1188,28.00,120.00,0.86,2016
BEKS,,,,5251,4387,865,-511.00,13.00,5.07,2016
BNLI,,,,165528,146238,19290,-8634.00,863.00,7.58,2016
BKSW,,,,24373,20895,3478,-866.00,397.00,6.01,2016
BBRI,,,,1003644,856832,146813,33974.00,5951.00,5.84,2016
AGRO,,,,11378,9442,1936,141.00,126.00,4.88,2016
BSIM,,,,31193,26717,4475,494.00,493.00,5.97,2016
BBTN,,,,214168,182829,19131,3330.00,1806.00,9.56,2016
BTPN,,,,91371,70652,16312,2605.00,2793.00,4.33,2016
BVIC,,,,26000,23374,2626,93.00,333.00,8.90,2016
SDRA,,,,22631,18219,4412,419.00,870.00,4.13,2016
BBYD,,,,4135,3492,643,92.00,153.00,5.43,2016
BJBR,,,,102318,87020,9674,1464.00,998.00,9.00,2016
BJTM,,,,43033,35823,7210,1452.00,482.00,4.97,2016
ADMF,,,,27643,22666,4977,1718.00,4977.00,4.55,2016
BPFI,,,,1038,534,504,44.00,370.00,1.06,2016
BFIN,,,,12476,8222,4255,1025.00,2665.00,1.93,2016
BBLD,,,,3629,2528,1101,72.00,669.00,2.30,2016
CFIN,,,,6744,2945,3799,276.00,953.00,0.78,2016
DEFI,,,,61,1,60,9.00,89.00,0.02,2016
FINN,,,,867,730,137,10.00,- ,5.32,2016
IMJS,,,,12469,10424,2045,200.00,473.00,5.10,2016
IBFN,,,,2436,2096,340,-317.00,107.00,6.17,2016
MGNA,,,,267,196,71,-71.00,71.00,2.78,2016
MFIN,,,,3562,1749,1813,339.00,1369.00,0.96,2016
HDFA,,,,3604,3091,513,28.00,220.00,6.02,2016
TIFA,,,,1403,1096,307,24.00,285.00,3.57,2016
TRUS,,,,268,33,235,13.00,294.00,0.14,2016
VRNA,,,,1790,1504,287,9.00,286.00,5.24,2016
WOMF,,,,6671,5856,815,35.00,234.00,7.18,2016
HADE,,,,95,1,94,-46.00,45.00,0.01,2016
KREN,,,,1263,583,681,164.00,37.00,0.86,2016
AKSI,,,,76,8,68,3.00,94.00,0.12,2016
PADI,,,,472,26,446,-10.00,39.00,0.06,2016
PEGE,,,,386,162,224,27.00,317.00,0.72,2016
PANS,,,,2377,1129,1248,311.00,1734.00,0.90,2016
RELI,,,,1171,377,795,36.00,441.00,0.47,2016
TRIM,,,,1570,930,640,67.00,90.00,1.45,2016
YULE,,,,53,4,49,-2.00,191.00,0.09,2016
ABDA,,,,2814,1582,1232,197.00,1985.00,1.28,2016
ASBI,,,,526,352,174,19.00,498.00,2.03,2016
ASDM,,,,1064,792,272,47.00,1418.00,2.91,2016
AHAP,,,,444,251,193,11.00,229.00,1.30,2016
ASJT,,,,427,244,184,28.00,306.00,1.33,2016
ASMI,,,,618,348,270,44.00,37.00,1.29,2016
AMAG,,,,3436,1673,1764,139.00,353.00,0.95,2016
ASRM,,,,1435,1124,310,78.00,1447.00,3.62,2016
LPGI,,,,2301,1115,1186,86.00,7907.00,0.94,2016
MREI,,,,1834,1087,746,160.00,1922.00,1.46,2016
PNIN,,,,27134,4582,22537,2311.00,5540.00,0.20,2016
VINS,,,,234,67,167,8.00,115.00,0.40,2016
BPII,,,,514,86,427,87.00,832.00,0.20,2016
CASA,,,,3736,2381,1355,38.00,117.00,1.76,2016
MTFN,,,,1423,292,1131,-28.00,36.00,0.26,2016
GSMF,,,,4355,3041,1314,111.00,176.00,2.32,2016
LPPS,,,,1228,11,1217,38.00,470.00,0.01,2016
BCAP,,,,22216,15811,6405,-58.00,1170.00,2.47,2016
APIC,,,,1872,340,1533,74.00,130.00,0.22,2016
PNLF,,,,24974,4580,20378,1679.00,636.00,0.22,2016
SMMA,,,,73995,53546,20449,1926.00,3211.00,2.62,2016
VICO,,,,26501,23414,3087,509.00,337.00,7.59,2016
AIMS,,,,17,0,17,-2.00,76.00,0.02,2016
AKRA,,,,15831,7756,8074,1156.00,2023.00,0.96,2016
OKAS,,,,2255,2107,148,-138.00,84.00,14.19,2016
APII,,,,408,169,239,23.00,222.00,0.71,2016
BMSR,,,,499,350,149,-20.00,128.00,2.35,2016
BOGA,,,,432,35,397,13.00,105.00,0.09,2016
CLPI,,,,568,139,429,85.00,1400.00,0.32,2016
DPUM,,,,1686,394,1292,119.00,309.00,0.30,2016
EPMT,,,,7087,2467,4620,746.00,1706.00,0.53,2016
GREN,,,,488,22,467,10.00,99.00,0.05,2016
CNKO,,,,5178,3266,1913,-683.00,214.00,1.71,2016
FISH,,,,3480,2367,1113,375.00,2319.00,2.13,2016
HEXA,,,,3250,1450,1800,198.00,2142.00,0.81,2016
CARS,,,,6302,4845,1457,249.00,- ,3.32,2016
INTD,,,,47,13,34,2.00,289.00,0.37,2016
INTA,,,,5192,4692,499,-339.00,231.00,9.40,2016
KOBX,,,,1153,780,374,-78.00,164.00,2.09,2016
LTLS,,,,5658,3979,1679,145.00,1076.00,2.37,2016
ITTG,,,,99,4,94,-5.00,68.00,0.04,2016
SDPC,,,,733,590,143,17.00,197.00,4.12,2016
MPMX,,,,14926,9279,5647,623.00,1265.00,1.64,2016
MDRN,,,,1982,1337,645,-874.00,141.00,2.07,2016
MICE,,,,849,248,601,44.00,1001.00,0.41,2016
KONI,,,,119,102,18,-3.00,116.00,5.78,2016
SQMI,,,,9,27,-18,11.00,-58.00,-1.54,2016
CMPP,,,,177,144,33,2.00,154.00,4.33,2016
TMPI,,,,1140,174,966,-46.00,176.00,0.18,2016
TGKA,,,,2686,1742,944,247.00,1028.00,1.85,2016
TIRA,,,,330,165,164,2.00,280.00,1.01,2016
TRIL,,,,148,11,138,-7.00,115.00,0.08,2016
TURI,,,,4978,2155,2823,692.00,506.00,0.76,2016
UNTR,,,,63991,21369,42622,6730.00,11426.00,0.50,2016
WAPO,,,,106,100,6,1.00,11.00,18.07,2016
WICO,,,,229,100,129,5.00,102.00,0.78,2016
ACES,,,,3731,682,3049,863.00,178.00,0.22,2016
CSAP,,,,4241,2829,1412,101.00,348.00,2.00,2016
CENT,,,,1315,277,1037,-32.00,100.00,0.27,2016
DAYA,,,,199,100,100,-24.00,48.00,1.00,2016
